Chronology,Sites,Scaled Pieces (N),Scaled Pieces (%), Bipolar Cores (N),Bipolar Cores (%),Total (%),Source
Gravettian,Casal do Felipe,12,5.91,0,0,2.33,Zilhão (1997)
Gravettian,CPM III,1,0.81,0,0,0.19,Zilhão (1997)
Gravettian,Fonte Santa,105,12.49,0,0,20.43,Zilhão (1997)
Gravettian,Gato Preto,3,3.13,0,0,0.58,Zilhão (1997)
Gravettian,Gruta do Caldeirão,1,11.11,0,0,0,Zilhão (1997)
Gravettian,Salto do Boi – Cardina I,1,2.7,0,0,0.19,Zilhão et al. (1995) 
Gravettian,Vale Boi - Terrace,12,37.5,1,0,2.33,Cascalheira (2009); Marreiros (2009)
Gravettian,Vale Boi – Slope,59,,0,0,11.48,"Horta, 2016"
Gravettian,Vale Comprido - Barraca,10,2.6,0,0,1.95,Zilhão (1997)
Gravettian,Vales da Senhora da Luz,1,0.32,0,0,0.19,Zilhão (1997)
Proto-Solutrean,Terra do José Pereira,4,1.91,0,0,0.78,Zilhão (1997)
Proto-Solutrean,Terra do Manuel (1940-1942),9,1.03,0,0,1.75,Zilhão (1997)
Proto-Solutrean,Terra do Manuel (1988-1989),1,2.13,0,0,0.19,Zilhão (1997)
Proto-Solutrean,Vale Boi  Slope,13,?,0,0,2.53,Horta (2016)
Proto-Solutrean,Vale Comprido - Encosta,9,0.9,0,0,1.75,Zilhão (1997)
Solutrean,Casal do Cepo,6,1.43,0,0,1.17,Zilhão (1997)
Solutrean,Gruta de Salemas II,1,1.69,0,0,0.19,Zilhão (1997)
Solutrean,Gruta de Salemas UP Mixed,1,1.16,0,0,0.19,Zilhão (1997)
Solutrean,Lagar Velho 09,1,3.45,0,0,0.19,Zilhão (1997)
Solutrean,Vale Almoinha,26,5.9,0,0,5.05,Zilhão (1997)
Solutrean,Vale Boi Rockshelter,24,11.7,1,2.3,4.67,Marreiros (2009)
Solutrean,Vale Boi Terrace,5,13.51,0,0,0.97,Cascalheira (2009)
Solutrean,Vale Boi Slope,66,,0,0,12.84,Horta (2016)
Magdalenian,Areeiro I,8,4,0,0,1.56,Bicho (2000)
Magdalenian,Areeiro III área 1,16,2.9,0,0,3.11,Bicho (2000)
Magdalenian,Areeiro III área 2,10,2.9,0,0,1.95,Bicho (2000)
Magdalenian,Areeiro Teste,6,1.4,0,0,1.17,Bicho (2000)
Magdalenian,Carneira I,2,0.35,0,0,0.39,Zilhão (1997)
Magdalenian,Carneira II,17,9.9,1,4.3,3.31,Bicho (2000)
Magdalenian,Cerrado Novo,5,0.93,0,0,0.97,Bicho (2000)
Magdalenian,CPM I Inferior,1,0.5,0,0,0.19,Zilhão (1997)
Magdalenian,CPM I Superior,18,1.2,0,0,3.5,Bicho (2000)
Magdalenian,CPM II Middle,4,3.4,0,0,0.78,Bicho (2000)
Magdalenian,CPM II Superior,2,1.1,0,0,0.39,Zilhão (1997)
Magdalenian,CPM IIIS,5,1.3,0,0,0.97,Bicho (2000)
Magdalenian,CPM III Superior,2,1.1,0,0,0.39,Bicho (2000)
Magdalenian,CPM V,2,1.3,0,0,0.39,Bicho (2000)
Magdalenian,Olival da Carneira,3,1.11,0,0,0.58,Zilhão (1997)
Magdalenian,Pinhal da Carneira,2,1,0,0,0.39,Bicho (2000)
Magdalenian,Quinta da Barca,9,10.23,0,0,1.75,Bicho (2000)
Magdalenian,Quinta da Barca Sul,22,42.31,0,0,4.28,Bicho (2000)
Magdalenian,Quinta da Granja,3,13.04,0,0,0.58,Bicho (2000)
Magdalenian,Rossio do Cabo,1,1.14,0,0,0.19,Zilhão (1997)
Magdalenian,Vale da Mata,6,0.45,0,0,1.17,Zilhão (1997)
